delta,E_s,s_lr,model_surv,flat_surv,diff_surv
0.0,0.05392444568736617,0.16781328311274712,1593.906765326078,1776.6925494640852,182.78578413800753
0.1,0.05296654895597557,0.1680624110899321,1599.6256516590236,1745.1319471412621,145.50629548223847
0.2,0.05281035923055971,0.1647017061021208,1588.2921883253703,1739.9858372849258,151.69364895955542
0.3,0.05254305567517939,0.16599563507885884,1608.664531527099,1731.1787697437428,122.51423821664422
0.4,0.05126029324197478,0.16402224056320738,1588.7529285001772,1688.9145530465462,100.16162454636905
0.5,0.04988780801528025,0.16177850168372007,1574.640386985696,1643.6941665328839,69.05377954718772
0.6,0.0484281703973571,0.15977515935821363,1566.2932690034572,1595.602299335644,29.309030332186943
0.7,0.04661916636280852,0.1610091048598696,1569.1379264833938,1535.9995727955006,-33.13835368789335
0.8,0.049662638362706145,0.20528812774441058,1833.762124059012,1636.2753189398416,-197.48680511917033
