alpha1,alpha3,E_s,s_lr,model_surv,flat_surv,diff_surv
-0.005,-0.05,0.056444081419268675,0.13053218174768175,2015.0029492138287,1859.7090362387185,-155.2939129751105
-0.005,-0.04,0.05640018656606916,0.1304544323666902,2005.1161960934487,1858.2627968264205,-146.85339926702815
-0.005,-0.03,0.05635607963434836,0.13037564294840046,1995.7888740435692,1856.8095698906745,-138.97930415289474
-0.005,-0.02,0.056311757972060277,0.13029570522828995,1986.8962443313017,1855.349268052364,-131.54697627893768
-0.005,-0.01,0.05626715975364149,0.13021465885555272,1978.3536505195934,1853.879854294392,-124.47379622520121
-0.005,0.0,0.056222272611248424,0.13013238274753705,1970.0991814774543,1852.4009211233617,-117.69826035409244
-0.005,0.01,0.05617714492628432,0.13004893996427172,1962.086991191357,1850.9140626006956,-111.1729285906616
-0.005,0.02,0.05613172234841373,0.1299642756133955,1954.2807183308018,1849.4174880017094,-104.86323032909256
-0.005,0.03,0.056086032845860244,0.12987843546070763,1946.653062648955,1847.9121188182019,-98.74094383075335
-0.005,0.04,0.056040068244574394,0.12979143855918648,1939.181382753205,1846.3976857331195,-92.78369702008567
-0.005,0.05,0.055993856447423974,0.12970321594647455,1931.8469939121183,1844.875108084932,-86.9718858271861
-0.004,-0.05,0.05411161539606715,0.13054229303942522,1939.9947119329183,1782.8593820146202,-157.13532991829823
-0.004,-0.04,0.0540686636293388,0.13046260879808344,1930.678371894453,1781.4442152389613,-149.23415665549157
-0.004,-0.03,0.05402551540611867,0.13038191783366462,1921.8887810223016,1780.0225756515597,-141.86620537074168
-0.004,-0.02,0.05398213133979242,0.13029995886490017,1913.5046833646568,1778.5931655496152,-134.9115178150416
-0.004,-0.01,0.05393844989585526,0.13021684306388379,1905.4420430054217,1777.1539575057725,-128.28808549964924
-0.004,0.0,0.053894531448431066,0.13013238862721696,1897.6432019197364,1775.7069407153735,-121.93626120436299
-0.004,0.01,0.05385031749455895,0.13004659994538106,1890.0633374540794,1774.2501876338051,-115.8131498202744
-0.004,0.02,0.05380585297128964,0.12995962752820586,1882.6686897938441,1772.785178838609,-109.88351095523508
-0.004,0.03,0.05376110838964081,0.12987137927968537,1875.4333670126343,1771.3109427323125,-104.12242428032165
-0.004,0.04,0.053716086947436965,0.1297818531458006,1868.3363258523082,1769.8275846762378,-98.50874117607036
-0.004,0.05,0.05367080396762431,0.1296910498073411,1861.360421589646,1768.3356095279514,-93.02481206169462
-0.003,-0.05,0.051626167588162165,0.1305528188664574,1859.7271480270558,1700.969312564704,-158.7578354623517
-0.003,-0.04,0.05158438374336747,0.13047129342256744,1851.1084431542554,1699.592626262445,-151.51581689181026
-0.003,-0.03,0.05154240894452052,0.1303885513575598,1842.9676588585546,1698.2096484417923,-144.75801041676243
-0.003,-0.02,0.051500171789743095,0.13030455495500376,1835.1895007082508,1696.818026567018,-138.37147414123302
-0.003,-0.01,0.05145766161231573,0.13021915141119825,1827.6959427852405,1695.417409193045,-132.27853359219554
-0.003,0.0,0.05141488859746384,0.13013238922877254,1820.432674772858,1694.0081319007747,-126.42454287208345
-0.003,0.01,0.05137183148010739,0.1300442149777384,1813.3596528854525,1692.589494052328,-120.77015883312431
-0.003,0.02,0.05132850754902961,0.12995475675168025,1806.4457324291125,1691.1620652753004,-115.2836671538118
-0.003,0.03,0.05128494598134378,0.12986392113702813,1799.6671678277273,1689.726806891763,-109.94036093596426
-0.003,0.04,0.051241097922506036,0.12977175886008813,1793.0053564009518,1688.282109251344,-104.72324714960789
-0.003,0.05,0.05119698204107433,0.1296781750127772,1786.4452856731898,1686.8285874421965,-99.61669823099338
-0.002,-0.05,0.04897220725307879,0.13056386197387,1773.6179391173216,1613.5271238910696,-160.09081522625195
-0.002,-0.04,0.04893184459328676,0.1304802682675654,1765.8527910652037,1612.1972625264334,-153.65552853877048
-0.002,-0.03,0.048891281180299166,0.13039546282052536,1758.492978339594,1610.8607867830622,-147.6321915565317
-0.002,-0.02,0.048850443674343734,0.13030927946070928,1751.437115323767,1609.515280275858,-141.92183504790898
-0.002,-0.01,0.04880934943985644,0.13022155857921366,1744.6165814084823,1608.1613151250103,-136.45526628347207
-0.002,0.0,0.04876798383737068,0.13013244016263784,1737.9837974019133,1606.7984089921104,-131.18538840980298
-0.002,0.01,0.04872635235527621,0.1300417746844746,1731.5041320351413,1605.4267427075974,-126.07738932754386
-0.002,0.02,0.04868444365226977,0.1299495645224996,1725.1510888311484,1604.0459426003338,-121.10514623081463
-0.002,0.03,0.048642286893621385,0.1298560816251236,1718.9041315901788,1602.6569696021804,-116.24716198799847
-0.002,0.04,0.0485998711111242,0.12976096981699145,1712.7473405469811,1601.2594623347095,-111.48787821227153
-0.002,0.05,0.04855718684410192,0.12966465649722803,1706.6685812617623,1599.8531090893284,-106.81547217243396
-0.001,-0.05,0.04613195912937095,0.13057543669711602,1680.9932830484759,1519.94716000461,-161.04612304386552
-0.001,-0.04,0.046093335800457554,0.13048980908487903,1674.273392523422,1518.674605788406,-155.59878673501626
-0.001,-0.03,0.04605448259569207,0.13040274082207787,1667.8550704815498,1517.3944776656272,-150.4605928159227
-0.001,-0.02,0.04601536540746843,0.13031425318007583,1661.6598701721325,1516.10565186525,-145.55421830688277
-0.001,-0.01,0.04597596653031847,0.1302241049768514,1655.6356710125483,1514.8075450308204,-140.82812598172794
-0.001,0.0,0.0459363225125002,0.13013243467197527,1649.7445649864728,1513.5013613475073,-136.24320363896567
-0.001,0.01,0.045896398820015484,0.13003911891392045,1643.9598560817842,1512.1859629955998,-131.77389308618467
-0.001,0.02,0.04585624372810993,0.12994413676286962,1638.2608625065254,1510.86294053886,-127.39792196766574
-0.001,0.03,0.04581580819893295,0.1298477074969567,1632.6324410724349,1509.5306782873593,-123.10176278507548
-0.001,0.04,0.045775133132907514,0.12974969557345187,1627.0621044477948,1508.1905238205827,-118.871580627212
-0.001,0.05,0.04573419734254517,0.12965016139170518,1621.5402103280255,1506.8417790571252,-114.69843127090029
0.0,-0.05,0.043085143635787936,0.1305876152482127,1581.0675027136538,1419.561253055752,-161.50624965790178
0.0,-0.04,0.04304859666510909,0.13049973444469612,1575.6320477032018,1418.3571103022587,-157.27493740094326
0.0,-0.03,0.04301181207825818,0.1304104077262199,1570.350471202445,1417.1451386155766,-153.2053325868687
0.0,-0.02,0.042974765248736856,0.13031953101867502,1565.182801950186,1415.9245266064443,-149.258275343742
0.0,-0.01,0.042937431943114536,0.13022678440398544,1560.1011449916434,1414.6944758363243,-145.40666915531932
0.0,0.0,0.042899847698403513,0.1301324435074698,1555.0828544606156,1413.45615717205,-141.6266972885655
0.0,0.01,0.042862004118567824,0.1300362700705955,1550.112296877357,1412.209293982599,-137.90300289475806
0.0,0.02,0.04282393668969895,0.12993844847717664,1545.1772075366873,1410.9550554570756,-134.22215207961162
0.0,0.03,0.04278562060937156,0.1298388130531939,1540.2684435884007,1409.6926244098095,-130.5758191785913
0.0,0.04,0.04274705980437767,0.12973761150081553,1535.378663346118,1408.4221302200099,-126.95653312610831
0.0,0.05,0.04270825161696081,0.12963475931074706,1530.502725388416,1407.1434853204128,-123.35924006800315
0.001,-0.05,0.039808325806597385,0.13060032698663515,1472.9192886039189,1311.597272177263,-161.322016426656
0.001,-0.04,0.039774288630400126,0.13051020114771641,1469.0699307919883,1310.47582166287,-158.59410912911807
0.001,-0.03,0.03974001510555245,0.13041851237062443,1465.1638576921935,1309.346583977354,-155.81727371483947
0.001,-0.02,0.039705449920709644,0.13032507278681005,1461.2251947452464,1308.207736732876,-153.01745801237053
0.001,-0.01,0.03967060512756768,0.1302297348709294,1457.2608910159038,1307.0596770064599,-150.20121400944385
0.001,0.0,0.039635526064442365,0.1301324238225766,1453.2711631445927,1305.9038985964555,-147.3672645481372
0.001,0.01,0.039600173004423665,0.13003333429081515,1449.2557128443316,1304.7390925880609,-144.51662025627078
0.001,0.02,0.0395646317301298,0.12993229799189257,1445.212926414076,1303.5680853309357,-141.64484108314042
0.001,0.03,0.03952887825019637,0.12982933126673193,1441.1426577557534,1302.3900863620931,-138.7525713936602
0.001,0.04,0.039492867219607396,0.1297246551267789,1437.0439146323506,1301.2036016624284,-135.84031296992214
0.001,0.05,0.039456628436110495,0.1296182938553616,1432.9170184845175,1300.009613002556,-132.9074054819612
0.002,-0.05,0.03627444664324339,0.13061366008757072,1355.4574619306259,1195.1636825463468,-160.29377938427905
0.002,-0.04,0.03624346794631204,0.13052115422443708,1353.5796551070187,1194.1430022346913,-159.43665287232741
0.002,-0.03,0.03621220226357628,0.13042705461752277,1351.3452810241538,1193.112866368435,-158.2324146557187
0.002,-0.02,0.03618062664539256,0.13033090840562642,1348.8796272005145,1192.0725188070157,-156.8071083934987
0.002,-0.01,0.03614877841912228,0.13023272848093312,1346.242293852194,1191.0231894053543,-155.21910444683968
0.002,0.0,0.036116655924973845,0.13013241528735287,1343.4672033323216,1189.9648234769477,-153.50237985537387
0.002,0.01,0.03608436888806231,0.13003011945304357,1340.5732923138426,1188.9010362243614,-151.67225608948104
0.002,0.02,0.03605187266162948,0.12992575336266496,1337.5754725425131,1187.8303566345587,-149.74511590795453
0.002,0.03,0.03601915928869073,0.12981931008411135,1334.483357484341,1186.7525225422976,-147.73083494204357
0.002,0.04,0.035986255837264995,0.1297110302471358,1331.3053699612628,1185.6684257796032,-145.6369441816598
0.002,0.05,0.03595313280514546,0.12960082925870303,1328.0482206192412,1184.5770943132843,-143.471126305957
0.003,-0.05,0.03245201539987534,0.13062778429408264,1227.3764009174188,1069.2229329593397,-158.15346795807915
0.003,-0.04,0.03242476698551079,0.13053274464448603,1227.9721247058465,1068.325157299913,-159.64696740593348
0.003,-0.03,0.032397127759861054,0.13043600562860794,1227.7795365409793,1067.4145052633662,-160.36503127761324
0.003,-0.02,0.032369129127912045,0.13033707972020384,1227.086163482279,1066.4920115753014,-160.5941519069776
0.003,-0.01,0.032340852918870795,0.1302359353891965,1226.030372713132,1065.5603723291244,-160.47000038400745
0.003,0.0,0.032312377213345976,0.13013240401908963,1224.691816177503,1064.6221601101247,-160.06965606737808
0.003,0.01,0.03228370276287089,0.13002673737126783,1223.1190329399608,1063.6773996796805,-159.4416332602802
0.003,0.02,0.03225488349851239,0.12991874579600637,1221.346031552986,1062.7278679484941,-158.6181636044919
0.003,0.03,0.032225884436962136,0.12980854811619216,1219.3976438285852,1061.7724122930667,-157.62523153551822
0.003,0.04,0.032196699655914464,0.1296963348987762,1217.2931677314598,1060.810837586379,-156.48233014508097
0.003,0.05,0.03216734175949738,0.1295820774283314,1215.048126756487,1059.8435591068821,-155.2045676496049
0.004,-0.05,0.028304125634712216,0.130642470304868,1087.094576166635,932.5590368761158,-154.53553929051927
0.004,-0.04,0.028281410754894695,0.13054487078440988,1090.8314775511378,931.8106312649065,-159.02084628623118
0.004,-0.03,0.02825815083226616,0.13044545869776292,1093.1486889714104,931.0442676851154,-162.10442128629504
0.004,-0.02,0.028234488004721288,0.13034363432350085,1094.5963479684592,930.2646292695077,-164.33171869895153
0.004,-0.01,0.028210529386798223,0.13023932063313598,1095.4319381850642,929.4752452078493,-165.9566929772149
0.004,0.0,0.028186401258899263,0.13013237597271973,1095.7985451777547,928.6802761632138,-167.1182690145409
0.004,0.01,0.028162118967821982,0.13002308192676862,1095.7852963300543,927.8802277790161,-167.90506855103814
0.004,0.02,0.028137714583398657,0.12991121228940214,1095.4527119953468,927.0761566860916,-168.37655530925542
0.004,0.03,0.02811318753492567,0.12979702326688383,1094.8445704260043,926.2680440810047,-168.57652634499962
0.004,0.04,0.028088521891391223,0.12968056743195377,1093.994894950191,925.4553650717578,-168.5395298784333
0.004,0.05,0.028063684158550543,0.12956182768626212,1092.9299924946415,924.6370160962405,-168.29297639840127
0.005,-0.05,0.02378729634104826,0.130657939252287,932.6652899953633,783.73939022124,-148.9258997741233
0.005,-0.04,0.02377023661792472,0.1305576123952724,940.4569686996751,783.1773096549373,-157.2796590447379
0.005,-0.03,0.023752316219082976,0.13045541986054135,945.8844769928418,782.5868717060681,-163.2976052867736
0.005,-0.02,0.02373383507836766,0.1303505279705328,949.9338603469026,781.9779585388404,-167.95590180806235
0.005,-0.01,0.023715108248797804,0.13024295874544142,953.0394134221716,781.3609504611914,-171.67846296098026
0.005,0.0,0.023696201430347605,0.13013252014716145,955.4370457631064,780.7380121435814,-174.69903361952507
0.005,0.01,0.023677204368132105,0.13001923695480885,957.2714903133422,780.112100491273,-177.15938982206916
0.005,0.02,0.023658147709210382,0.12990338115373215,958.6376550227093,779.4842252578364,-179.15342976487293
0.005,0.03,0.023639011943914094,0.12978486466693576,959.6050320856612,778.853743642368,-180.7512884432931
0.005,0.04,0.02361977892361092,0.129663685280884,960.226178274028,778.2200576871254,-182.0061205869027
0.005,0.05,0.023600463430086163,0.1295401790619753,960.5413658872241,777.583654419605,-182.95771146761902
