alpha1,delta,E_s,s_lr,model_surv,flat_surv,diff_surv
-0.005,0.0,0.046161786875126884,0.13219843967850614,1477.1432590846655,1520.9299189922333,43.786659907568
-0.005,0.1,0.04601301874129374,0.13040872294008932,1477.067573215021,1516.0283343470905,38.960761132069834
-0.005,0.2,0.04653688326776893,0.1304384649708518,1498.3210943021754,1533.2885247719148,34.967430469739355
-0.005,0.3,0.04722035572551003,0.13045177385294268,1526.4237102331242,1555.8074474600157,29.38373722689154
-0.005,0.4,0.04811975463066502,0.1304757625282068,1563.359100802139,1585.440674346563,22.081573544424106
-0.005,0.5,0.04931273291538506,0.13029426325914772,1613.9983425481328,1624.7466997144072,10.748357166274447
-0.005,0.6,0.05097036042293285,0.13022406012076787,1686.6755251330583,1679.361900759244,-7.313624373814406
-0.005,0.7,0.05368959980294593,0.13015355269759438,1804.5706035251085,1768.9548911942018,-35.61571233090665
-0.005,0.8,0.058528673137153264,0.13025502117690985,2029.5969979427066,1928.3917742183094,-101.20522372439713
-0.005,0.9,0.06811681499666843,0.12879624898056138,2533.5583309300605,2244.3000786590997,-289.25825227096095
-0.004,0.0,0.04418107981645855,0.13223686185665928,1411.3741016687684,1455.6699533319575,44.29585166318886
-0.004,0.1,0.04402824636383796,0.13040872897336542,1411.265878702295,1450.6344253238597,39.36854662156469
-0.004,0.2,0.04452892269608434,0.13043845333674572,1431.8398426088484,1467.1306154627885,35.29077285394012
-0.004,0.3,0.04518580796517532,0.13045177241630926,1459.1900888104446,1488.7735484326142,29.583459622169425
-0.004,0.4,0.046052105931504786,0.13047576083023907,1495.2163213282965,1517.3161717785608,22.0998504502641
-0.004,0.5,0.047206595685328194,0.13029425917070475,1544.8584978626998,1555.354084230042,10.495586367342174
-0.004,0.6,0.04880470841605766,0.13022404691580103,1616.0086963595602,1608.0084035410323,-8.000292818528049
-0.004,0.7,0.051438289638762354,0.1301535820195753,1731.9499652057252,1694.7791450321065,-37.17082017361858
-0.004,0.8,0.05612920666461526,0.13025504603284624,1954.1137869372048,1849.334601722498,-104.7791852147064
-0.004,0.9,0.06552067741402733,0.12879635527132668,2457.8018027995736,2158.7630232166775,-299.0387795828958
-0.003,0.0,0.04210482333509068,0.13227708069477156,1342.42427385815,1387.261843165939,44.83756930778895
-0.003,0.1,0.04194788165262201,0.13040871676211513,1342.276740263089,1382.090957969288,39.81421770619872
-0.003,0.2,0.04242251531192679,0.13043846122091657,1362.080885785038,1397.7290989916487,35.648213206610734
-0.003,0.3,0.04304934666776634,0.13045178012429426,1388.5676378903404,1418.381821249515,29.814183359174887
-0.003,0.4,0.043877948792058696,0.1304757636323295,1423.5432285289687,1445.682449043363,22.139220514394342
-0.003,0.5,0.044987962538782844,0.130294287935581,1472.0053886690478,1482.2549743325674,10.24958566351942
-0.003,0.6,0.04651732613012084,0.13022406437421571,1541.3468592827978,1532.6441598590204,-8.702699423777167
-0.003,0.7,0.04905022062168626,0.13015359677340188,1654.8912895691137,1616.097493766859,-38.79379580225432
-0.003,0.8,0.0535624250092245,0.13025507727535116,1873.340527794909,1764.764759879835,-108.57576791507371
-0.003,0.9,0.06267792613326616,0.12879646665976427,2374.829625013836,2065.1005857798627,-309.7290392339729
-0.002,0.0,0.03992643895314666,0.13231924866326364,1270.0561285122906,1315.4888420356624,45.43271352337189
-0.002,0.1,0.03976482760922577,0.1304087047362673,1269.8631851196103,1310.1641017069842,40.30091658737397
-0.002,0.2,0.040210244527351176,0.13043847677095535,1288.794555970678,1324.8396150062167,36.04505903553872
-0.002,0.3,0.0408030723779867,0.13045176808228992,1314.2940708302624,1344.3719961352772,30.07792530501466
-0.002,0.4,0.04158887476124691,0.13047573688778827,1348.058315493285,1370.2624660676665,22.204150574381618
-0.002,0.5,0.04264764579941938,0.13029428648252922,1395.1309498724386,1405.1466561809107,10.015706308472286
-0.002,0.6,0.04409766783739495,0.13022403622413092,1462.3411694235383,1452.9217110487164,-9.419458374822046
-0.002,0.7,0.04651248190868464,0.13015356391693508,1572.9751693255475,1532.4845533572948,-40.49061596825275
-0.002,0.8,0.05081026130558341,0.13025506703521472,1786.7000880634487,1674.0869849887667,-112.61310307468192
-0.002,0.9,0.05955163076343362,0.12879658417785925,2283.559630259363,1962.0959907357474,-321.46363952361577
-0.001,0.0,0.03763799316749275,0.13236346904352522,1194.010020887205,1240.0895583639092,46.07953747670414
-0.001,0.1,0.0374713649386816,0.13040871759801753,1193.763954345084,1234.599522650319,40.83556830523518
-0.001,0.2,0.037883891806491696,0.1304384614261249,1211.7066159667665,1248.1913807241365,36.484764757369945
-0.001,0.3,0.038438255441972324,0.13045176727728947,1236.0786004136457,1266.4564500873441,30.377849673698517
-0.001,0.4,0.039175457371322386,0.1304757558751052,1268.4499105513398,1290.745641355446,22.29573080410611
-0.001,0.5,0.04017527579059565,0.1302942877501928,1313.8930285282877,1323.6874716088062,9.794443080518613
-0.001,0.6,0.04153387138882042,0.13022406892245691,1378.6017092926397,1368.4502252418245,-10.151484050815114
-0.001,0.7,0.04381064636605743,0.13015357362117375,1485.727318672612,1443.4649813009862,-42.26233737162558
-0.001,0.8,0.047851853215648506,0.13025507161895777,1693.5294081432426,1576.6139086379221,-116.91549950532058
-0.001,0.9,0.0560971633210902,0.12879672377679052,2182.682552590681,1848.278843634025,-334.40370895665643
0.0,0.0,0.035230962839770764,0.13240991164412377,1113.9986005079531,1160.7831733823812,46.78457287442804
0.0,0.1,0.03505877784233121,0.13040871463549533,1113.6900991833757,1155.1100542954655,41.41995511208986
0.0,0.2,0.03543439999126089,0.1304384420264679,1130.5134368107729,1167.485982594964,36.972545784191375
0.0,0.3,0.03594533909676377,0.13045176116349838,1153.5986704769234,1184.3203086674062,30.72163819048277
0.0,0.4,0.03662736657070157,0.13047575320128485,1184.3696498388945,1206.791622299453,22.421972460558457
0.0,0.5,0.03755935374748833,0.13029427533923865,1227.9090255237293,1237.4985614638006,9.58953594007128
0.0,0.6,0.038812801426617256,0.13022407550094683,1289.6891211646114,1278.7969211272948,-10.89220003731646
0.0,0.7,0.040928171609220534,0.13015356244067916,1392.6095763603817,1348.4937422050546,-44.115834155327015
0.0,0.8,0.04466308550436538,0.13025505483511937,1593.0614617988308,1471.5509865736956,-121.51047522513524
0.0,0.9,0.052260166103264005,0.12879883890446572,2070.5981404091763,1721.8581770452647,-348.7399633639114
0.001,0.0,0.03269589393474393,0.13245881076204746,1029.7039979268297,1077.2581973065587,47.554199379729
0.001,0.1,0.032517695799295754,0.1304087180092072,1029.3219759564104,1071.3869584733452,42.064982516934755
0.001,0.2,0.03285177282655632,0.13043845598285583,1044.878598300717,1082.3940658754714,37.51546757475444
0.001,0.3,0.0333136173230327,0.13045177157493762,1066.4959925728872,1097.610831953288,31.11483938040081
0.001,0.4,0.03393298276112116,0.13047575518256585,1095.4303291190888,1118.017568549658,22.587239430569007
0.001,0.5,0.03478704106225593,0.13029430676943532,1136.7508374377833,1146.1569216963067,9.406084258523459
0.001,0.6,0.03591932503041165,0.13022405397514053,1195.1093718423165,1183.4632020753968,-11.646169766919693
0.001,0.7,0.037846294399603554,0.13015358211494288,1293.008870748712,1246.9526283949126,-46.05624235379944
0.001,0.8,0.04121610425466441,0.1302550902839925,1484.4050119336184,1357.9804931467977,-126.42451878682093
0.001,0.9,0.04797339956395173,0.12879920459374747,1945.3347091792107,1580.6185949855,-364.71611419371055
